userName;score;at;content;Unnamed: 4;Unnamed: 5;score_ SH.;score_1;score_2;score_3;score_4;score_5;Unnamed: 5_Baik;Unnamed: 4_14/10/2024 17.02
Muslih Abadi Rokhmat;2;16/10/2024 12.21;Aplikasi dengan keamanan yang rendah . Masa beberapa akun saya hilang semua . Menyebalkan .;14/10/2024 17.02;Baik;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE
Zamal Nasution;5;16/10/2024 12.21;👍👍👍👍👍👍👍👍👍👍👍;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Mihra Mihra;4;16/10/2024 12.21;Saya ingin tahu lebih banyak fiturnya;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE
Achho Jho;5;16/10/2024 12.17;Aplikasi nya jelek😅;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Sandy Handler;5;16/10/2024 12.16;Favoritku wlau nguraas kuota;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Marni Marni;5;16/10/2024 12.15;😐📸, 🙄😳, 🖼;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Falen Naura kalista;5;16/10/2024 12.12;Sangat bagusss👍👍👍;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Fernando Fernando;3;16/10/2024 12.12;Aplikasinya udh bagus ,cmn harusnya ditambahkan fitur yang unfoll jadi tahu siapa saja yang unfoll;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE
Jef Fry;1;16/10/2024 12.11;bug seperti tidak ada sinyal padahal banyak;14/10/2024 17.02;Baik;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE
Santri Yuspitasari;5;16/10/2024 12.10;Aplikasi yg sngt bgus;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
ciaa hendrik;5;16/10/2024 12.09;Bgs sa;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Yatno;5;16/10/2024 12.08;Instagram ini bagus;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Anindya Fitri;1;16/10/2024 12.08;Lelet jaringan;14/10/2024 17.02;Baik;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE
Sangga Yp;5;16/10/2024 12.07;sangat bagus;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Tohari Tohari;5;16/10/2024 12.06;bagusa;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
tiwie wulanda;3;16/10/2024 12.06;Tiap hari pembaharuan mulu ... Udah gitu buat vc malah gak bisa setting gantian gambarnya;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE
Kadek Dwiky 05;1;16/10/2024 12.06;WOE AKUN GWEH KOK GABISA LIVE;14/10/2024 17.02;Baik;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE
Asep Tata;5;16/10/2024 12.01;Sangat bagus;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
